AS29124, 3
AS3790, 1
AS2510, 1
AS42652, 2
AS16019, 12
AS48815, 1
AS45758, 2
AS48716, 1
AS56044, 1
AS8972, 4
AS397550, 5
AS262197, 1
AS42610, 16
AS397545, 1
AS211632, 1
AS57043, 2
AS44291, 1
AS20055, 8
AS8560, 11
AS9370, 2
AS8767, 3
AS9070, 2
AS56427, 1
AS20845, 1
AS203493, 1
AS34781, 1
AS12083, 7
AS52207, 1
AS11290, 3
AS45839, 3
AS212913, 1
AS12389, 12
AS56478, 2
AS27651, 5
AS39608, 4
AS13124, 2
AS51248, 1
AS8728, 1
AS208909, 1
AS208016, 1
AS57523, 1
AS199860, 1
AS1836, 5
AS45011, 2
AS8251, 4
AS31263, 1
AS397285, 1
AS44845, 2
AS46690, 2
AS33993, 1
AS55391, 1
AS29432, 1
AS16532, 1
AS7738, 4
AS19624, 3
AS212531, 9
AS30823, 3
AS201814, 2
AS14638, 1
AS62282, 9
AS132203, 9
AS39375, 2
AS34984, 3
AS27257, 2
AS197312, 1
AS3842, 2
AS60144, 5
AS18881, 5
AS21334, 5
AS6805, 14
AS29580, 3
AS31415, 1
AS2518, 1
AS17235, 1
AS5413, 2
AS208161, 1
AS10143, 2
AS10480, 1
AS5606, 1
AS9930, 7
AS32264, 1
AS198668, 1
AS13037, 7
AS8047, 2
AS8473, 10
AS15366, 1
AS34385, 1
AS15943, 4
AS197099, 1
AS55850, 1
AS26827, 2
AS45267, 1
AS42548, 1
AS212441, 2
AS39798, 3
AS42916, 1
AS200276, 2
AS49447, 1
AS23470, 3
AS32097, 5
AS20454, 5
AS31673, 1
AS24360, 1
AS46375, 3
AS14828, 1
AS24516, 1
AS23650, 1
AS51852, 1
AS205377, 1
AS53859, 1
AS24154, 1
AS8943, 4
AS39857, 1
AS33920, 1
AS31242, 2
AS47330, 1
AS32391, 1
AS37352, 1
AS24400, 2
AS9145, 3
AS25513, 2
AS60414, 3
AS139646, 3
AS61349, 2
AS8342, 1
AS6697, 2
AS207144, 1
AS1759, 3
AS44065, 2
AS262698, 1
AS34259, 7
AS35612, 1
AS48943, 2
AS61303, 1
AS35434, 2
AS39449, 1
AS17072, 1
AS12849, 1
AS55430, 5
AS31400, 2
AS60558, 1
AS719, 6
AS2108, 5
AS7992, 3
AS5607, 6
AS198203, 3
AS54489, 3
AS12824, 3
AS35162, 1
AS13036, 3
AS6181, 3
AS30083, 3
AS35366, 3
AS21581, 3
AS206805, 2
AS21211, 1
AS32613, 2
AS29208, 4
AS12605, 4
AS8681, 1
AS51184, 2
AS135887, 1
AS3214, 2
AS33182, 1
AS29182, 5
AS39741, 1
AS12570, 2
AS47321, 1
AS2519, 1
AS15962, 2
AS197451, 2
AS205950, 1
AS60602, 1
AS4812, 4
AS7393, 2
AS11232, 7
AS42831, 3
AS12400, 2
