ASNo,Number of Nodes,Running SUM,Nodes/33
AS30083,3,5957,
AS35366,3,5960,
AS21581,3,5963,
AS42831,3,5966,
AS31034,3,5969,
AS38700,3,5972,
AS40788,3,5975,
AS6799,3,5978,
AS31200,3,5981,
AS9198,3,5984,
AS40676,3,5987,
AS46293,3,5990,
AS42730,3,5993,
AS57370,3,5996,
AS204274,3,5999,
AS12668,3,6002,
AS12312,3,6005,
AS202128,3,6008,
AS35680,3,6011,
AS28343,3,6014,
AS203523,3,6017,
AS9031,3,6020,
AS62240,3,6023,
AS24641,3,6026,
AS35592,3,6029,
AS5603,3,6032,
AS24560,3,6035,
AS42841,3,6038,
AS46562,3,6041,
AS7122,2,6043,
AS7684,2,6045,
AS60131,2,6047,
AS30900,2,6049,
AS203476,2,6051,
AS42708,2,6053,
AS12586,2,6055,
AS22709,2,6057,
AS9044,2,6059,
AS6661,2,6061,
AS197019,2,6063,
AS398355,2,6065,
AS13188,2,6067,
AS29550,2,6069,
AS6772,2,6071,
AS9063,2,6073,
AS25447,2,6075,
AS9808,2,6077,
AS49544,2,6079,
AS197869,2,6081,
AS14080,2,6083,
AS56381,2,6085,
AS20963,2,6087,
AS1448,2,6089,
AS12576,2,6091,
AS133579,2,6093,
AS13886,2,6095,
AS198930,2,6097,
AS7819,2,6099,
AS30722,2,6101,
AS395886,2,6103,
AS33185,2,6105,
AS42049,2,6107,
AS207375,2,6109,
AS13259,2,6111,
AS47377,2,6113,
AS59890,2,6115,
AS10474,2,6117,
AS204860,2,6119,
AS9125,2,6121,
AS48239,2,6123,
AS12555,2,6125,
AS22646,2,6127,
AS8228,2,6129,
AS202425,2,6131,
AS394380,2,6133,
AS25472,2,6135,
AS45012,2,6137,
AS28716,2,6139,
AS50923,2,6141,
AS44709,2,6143,
AS59210,2,6145,
AS4773,2,6147,
AS205125,2,6149,
AS28812,2,6151,
AS20649,2,6153,
AS21430,2,6155,
AS23991,2,6157,
AS14371,2,6159,
AS34779,2,6161,
AS12390,2,6163,
AS41733,2,6165,
AS10297,2,6167,
AS29789,2,6169,
AS42652,2,6171,
AS45758,2,6173,
AS57043,2,6175,
AS9370,2,6177,
AS9070,2,6179,
AS56478,2,6181,
AS13124,2,6183,
AS45011,2,6185,
AS44845,2,6187,
AS46690,2,6189,
AS201814,2,6191,
AS39375,2,6193,
AS27257,2,6195,
AS3842,2,6197,
AS5413,2,6199,
AS10143,2,6201,
AS8047,2,6203,
AS26827,2,6205,
AS212441,2,6207,
AS200276,2,6209,
AS31242,2,6211,
AS24400,2,6213,
AS25513,2,6215,
AS61349,2,6217,
AS6697,2,6219,
AS44065,2,6221,
AS48943,2,6223,
