AS55811, 1
AS24961, 7
AS12083, 2
AS45629, 7
AS36236, 2
AS31452, 1
AS36149, 4
AS4764, 10
AS36012, 1
AS51248, 1
AS29695, 6
AS42306, 1
AS57523, 1
AS199860, 1
AS10143, 7
AS20676, 2
AS51395, 1
AS45011, 1
AS31263, 1
AS397285, 1
AS33993, 1
AS50113, 1
AS3303, 18
AS27257, 4
AS34984, 3
AS57043, 2
AS1267, 4
AS50837, 2
AS37611, 4
AS60785, 1
AS31415, 1
AS17235, 1
AS10242, 2
AS2514, 3
AS198668, 2
AS61400, 1
AS132857, 1
AS32264, 1
AS8334, 3
AS63473, 2
AS15366, 1
AS34385, 1
AS20055, 7
AS8767, 4
AS20773, 6
AS204274, 3
AS23498, 2
AS197099, 1
AS42548, 1
AS13489, 1
AS25369, 1
AS29107, 1
AS15614, 4
AS42916, 1
AS4787, 1
AS23470, 3
AS4804, 5
AS9269, 2
AS20454, 5
AS5610, 8
AS31673, 1
AS133481, 2
AS31394, 1
AS7819, 2
AS27017, 7
AS202053, 5
AS51852, 2
AS42455, 1
AS15704, 9
AS35598, 2
AS22653, 4
AS21453, 1
AS137872, 1
AS21479, 1
AS43939, 2
AS33920, 1
AS60414, 3
AS52253, 1
AS30969, 1
AS31242, 2
AS9063, 1
AS6876, 1
AS1836, 5
AS199968, 1
AS7794, 2
AS197988, 3
AS213373, 1
AS8866, 6
AS201133, 1
AS15659, 1
AS34569, 1
AS61349, 2
AS8342, 1
AS202448, 2
AS6697, 2
AS48943, 2
AS61303, 1
AS35434, 3
AS39449, 1
AS8369, 2
AS760, 1
AS28343, 4
AS11404, 6
AS5432, 5
AS719, 4
AS2108, 6
AS15987, 1
AS198203, 3
AS42682, 1
AS29208, 5
AS35162, 1
AS131896, 1
AS26496, 2
AS29580, 3
AS206805, 1
AS132203, 4
AS16322, 1
AS5391, 3
AS32613, 3
AS24904, 2
AS12605, 3
AS17858, 1
AS54098, 1
AS3, 1
AS33182, 1
AS35540, 2
AS39741, 1
AS31708, 1
AS47321, 1
AS6805, 14
AS38195, 6
AS11260, 4
AS1403, 3
AS27651, 2
AS28725, 1
AS42831, 1
AS59684, 1
AS63089, 1
AS31034, 3
AS47377, 1
AS40021, 10
AS200276, 1
AS38700, 2
AS213230, 3
AS9808, 1
AS133579, 1
AS44065, 2
AS55286, 2
AS140227, 1
AS39287, 2
AS8887, 1
AS207586, 1
AS51862, 2
AS56478, 3
AS31679, 1
AS14828, 1
AS3329, 1
AS136000, 1
