blockGenerator,time
15_L2_UNIV15_miner_152,2022-05-04 21:57:55.549553
15_L2_UNIV15_miner_152,2022-05-04 21:58:09.822869
15_L2_UNIV15_miner_152,2022-05-04 21:58:23.942925
15_L2_UNIV15_miner_152,2022-05-04 21:58:38.146810
15_L2_UNIV15_miner_152,2022-05-04 21:58:52.623789
15_L2_UNIV15_miner_152,2022-05-04 21:59:06.771547
15_L2_UNIV15_miner_151,2022-05-04 21:59:21.207461
15_L2_UNIV15_miner_152,2022-05-04 21:59:35.883871
15_L2_UNIV15_miner_152,2022-05-04 21:59:50.391522
15_L2_UNIV15_miner_151,2022-05-04 22:00:04.849240
15_L2_UNIV15_miner_152,2022-05-04 22:00:19.169325
15_L2_UNIV15_miner_152,2022-05-04 22:00:33.617290
15_L2_UNIV15_miner_152,2022-05-04 22:00:48.116994
15_L2_UNIV15_miner_152,2022-05-04 22:01:02.445304
15_L2_UNIV15_miner_151,2022-05-04 22:01:16.667940
15_L2_UNIV15_miner_151,2022-05-04 22:01:31.075559
15_L2_UNIV15_miner_152,2022-05-04 22:01:45.479959
15_L2_UNIV15_miner_152,2022-05-04 22:02:00.085218
15_L2_UNIV15_miner_151,2022-05-04 22:02:14.485764
15_L2_UNIV15_miner_152,2022-05-04 22:02:28.880588
15_L2_UNIV15_miner_152,2022-05-04 22:02:43.185499
blockNum,time,hosts,delta
13,2022-05-04 22:01:02.875679,14_L2_UNIV14_miner_1413,0 days 00:00:00.430375
14,2022-05-04 22:01:17.112858,14_L2_UNIV14_miner_1413,0 days 00:00:00.444918
15,2022-05-04 22:01:31.545016,14_L2_UNIV14_miner_1413,0 days 00:00:00.469457
16,2022-05-04 22:01:45.943209,14_L2_UNIV14_miner_1413,0 days 00:00:00.463250
17,2022-05-04 22:02:00.519419,14_L2_UNIV14_miner_1413,0 days 00:00:00.434201
18,2022-05-04 22:02:14.934122,14_L2_UNIV14_miner_1413,0 days 00:00:00.448358
19,2022-05-04 22:02:29.334924,14_L2_UNIV14_miner_1413,0 days 00:00:00.454336
0,2022-05-04 21:57:56.125323,14_L2_UNIV14_miner_1412,0 days 00:00:00.575770
1,2022-05-04 21:58:10.433911,14_L2_UNIV14_miner_1412,0 days 00:00:00.611042
2,2022-05-04 21:58:24.534186,14_L2_UNIV14_miner_1412,0 days 00:00:00.591261
3,2022-05-04 21:58:38.736199,14_L2_UNIV14_miner_1412,0 days 00:00:00.589389
4,2022-05-04 21:58:53.185772,14_L2_UNIV14_miner_1412,0 days 00:00:00.561983
5,2022-05-04 21:59:07.347609,14_L2_UNIV14_miner_1412,0 days 00:00:00.576062
6,2022-05-04 21:59:21.772186,14_L2_UNIV14_miner_1412,0 days 00:00:00.564725
7,2022-05-04 21:59:36.453728,14_L2_UNIV14_miner_1412,0 days 00:00:00.569857
8,2022-05-04 21:59:50.955081,14_L2_UNIV14_miner_1412,0 days 00:00:00.563559
9,2022-05-04 22:00:05.413006,14_L2_UNIV14_miner_1412,0 days 00:00:00.563766
10,2022-05-04 22:00:19.732862,14_L2_UNIV14_miner_1412,0 days 00:00:00.563537
11,2022-05-04 22:00:34.195886,14_L2_UNIV14_miner_1412,0 days 00:00:00.578596
12,2022-05-04 22:00:48.658739,14_L2_UNIV14_miner_1412,0 days 00:00:00.541745
13,2022-05-04 22:01:03.021387,14_L2_UNIV14_miner_1412,0 days 00:00:00.576083
14,2022-05-04 22:01:17.245888,14_L2_UNIV14_miner_1412,0 days 00:00:00.577948
15,2022-05-04 22:01:31.671016,14_L2_UNIV14_miner_1412,0 days 00:00:00.595457
16,2022-05-04 22:01:46.093882,14_L2_UNIV14_miner_1412,0 days 00:00:00.613923
17,2022-05-04 22:02:00.660110,14_L2_UNIV14_miner_1412,0 days 00:00:00.574892
18,2022-05-04 22:02:15.040146,14_L2_UNIV14_miner_1412,0 days 00:00:00.554382
19,2022-05-04 22:02:29.447164,14_L2_UNIV14_miner_1412,0 days 00:00:00.566576
0,2022-05-04 21:57:56.268806,14_L2_UNIV14_miner_1411,0 days 00:00:00.719253
1,2022-05-04 21:58:10.605048,14_L2_UNIV14_miner_1411,0 days 00:00:00.782179
2,2022-05-04 21:58:24.670709,14_L2_UNIV14_miner_1411,0 days 00:00:00.727784
3,2022-05-04 21:58:38.876579,14_L2_UNIV14_miner_1411,0 days 00:00:00.729769
4,2022-05-04 21:58:53.335715,14_L2_UNIV14_miner_1411,0 days 00:00:00.711926
5,2022-05-04 21:59:07.510448,14_L2_UNIV14_miner_1411,0 days 00:00:00.738901
6,2022-05-04 21:59:21.895684,14_L2_UNIV14_miner_1411,0 days 00:00:00.688223
7,2022-05-04 21:59:36.607363,14_L2_UNIV14_miner_1411,0 days 00:00:00.723492
8,2022-05-04 21:59:51.101293,14_L2_UNIV14_miner_1411,0 days 00:00:00.709771
9,2022-05-04 22:00:05.558739,14_L2_UNIV14_miner_1411,0 days 00:00:00.709499
10,2022-05-04 22:00:19.883289,14_L2_UNIV14_miner_1411,0 days 00:00:00.713964
11,2022-05-04 22:00:34.332026,14_L2_UNIV14_miner_1411,0 days 00:00:00.714736
12,2022-05-04 22:00:48.818876,14_L2_UNIV14_miner_1411,0 days 00:00:00.701882
13,2022-05-04 22:01:03.172044,14_L2_UNIV14_miner_1411,0 days 00:00:00.726740
14,2022-05-04 22:01:17.387053,14_L2_UNIV14_miner_1411,0 days 00:00:00.719113
15,2022-05-04 22:01:31.829307,14_L2_UNIV14_miner_1411,0 days 00:00:00.753748
16,2022-05-04 22:01:46.226483,14_L2_UNIV14_miner_1411,0 days 00:00:00.746524
17,2022-05-04 22:02:00.795894,14_L2_UNIV14_miner_1411,0 days 00:00:00.710676
18,2022-05-04 22:02:15.177382,14_L2_UNIV14_miner_1411,0 days 00:00:00.691618
19,2022-05-04 22:02:29.607545,14_L2_UNIV14_miner_1411,0 days 00:00:00.726957
0,2022-05-04 21:57:56.409602,14_L2_UNIV14_miner_1410,0 days 00:00:00.860049
1,2022-05-04 21:58:10.766809,14_L2_UNIV14_miner_1410,0 days 00:00:00.943940
2,2022-05-04 21:58:24.811142,14_L2_UNIV14_miner_1410,0 days 00:00:00.868217
3,2022-05-04 21:58:39.014633,14_L2_UNIV14_miner_1410,0 days 00:00:00.867823
4,2022-05-04 21:58:53.487428,14_L2_UNIV14_miner_1410,0 days 00:00:00.863639
5,2022-05-04 21:59:07.666517,14_L2_UNIV14_miner_1410,0 days 00:00:00.894970
6,2022-05-04 21:59:22.032074,14_L2_UNIV14_miner_1410,0 days 00:00:00.824613
7,2022-05-04 21:59:36.754765,14_L2_UNIV14_miner_1410,0 days 00:00:00.870894
8,2022-05-04 21:59:51.238484,14_L2_UNIV14_miner_1410,0 days 00:00:00.846962
9,2022-05-04 22:00:05.677602,14_L2_UNIV14_miner_1410,0 days 00:00:00.828362
10,2022-05-04 22:00:20.029640,14_L2_UNIV14_miner_1410,0 days 00:00:00.860315
11,2022-05-04 22:00:34.459494,14_L2_UNIV14_miner_1410,0 days 00:00:00.842204
12,2022-05-04 22:00:48.963326,14_L2_UNIV14_miner_1410,0 days 00:00:00.846332
13,2022-05-04 22:01:03.318249,14_L2_UNIV14_miner_1410,0 days 00:00:00.872945
14,2022-05-04 22:01:17.515846,14_L2_UNIV14_miner_1410,0 days 00:00:00.847906
15,2022-05-04 22:01:31.959669,14_L2_UNIV14_miner_1410,0 days 00:00:00.884110
16,2022-05-04 22:01:46.375954,14_L2_UNIV14_miner_1410,0 days 00:00:00.895995
17,2022-05-04 22:02:00.936806,14_L2_UNIV14_miner_1410,0 days 00:00:00.851588
18,2022-05-04 22:02:15.324960,14_L2_UNIV14_miner_1410,0 days 00:00:00.839196
